Horizon size,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
Horizon size 1,47066.173300255825,182,49796.173300255825
Horizon size 2,46238.69604210113,225,49613.69604210113
Horizon size 3,46631.26754495462,180,49331.26754495462
Horizon size 4,46391.53508489823,207,49496.53508489823
Horizon size 5,46558.2172951942,188,49378.2172951942
Horizon size 6,46497.72010463218,200,49497.72010463218
Horizon size 7,46581.139722532826,192,49461.139722532826
Horizon size 8,46483.117635898365,194,49393.117635898365
Horizon size 9,46508.42949116042,195,49433.42949116042
Horizon size 10,46497.925205953434,194,49407.925205953434
