Horizon size,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
Horizon size 1,46195.27997458069,399,52180.27997458069
Horizon size 2,46981.57966026735,202,50011.57966026735
Horizon size 3,48435.81474359109,172,51015.81474359109
Horizon size 4,47570.797715286455,190,50420.797715286455
Horizon size 5,47856.09554463522,183,50601.09554463522
Horizon size 6,47868.21564272058,181,50583.21564272058
Horizon size 7,48107.22212584516,180,49331.26754495462
Horizon size 8,47883.201843501796,183,50628.201843501796
Horizon size 9,48140.925371939156,186,50930.925371939156
Horizon size 10,48090.76634687806,186,50880.76634687806
