Window size,checkpoint penalty,simulation length,Workload,Total Duration
10,89,52,15,6666.65
4,50,59,9,7314.7788
5,84,62,5,4465.41
2,24,63,2,3569.224
4,85,65,7,8193.80759
8,21,65,6,5151.889199
5,84,66,1,3065.06284
9,40,75,4,5255.1097
10,96,80,7,10030.37003
3,37,84,3,5290.712
10,41,85,3,4789.124098
8,34,92,14,13206.2904
6,80,94,15,13103.966
9,23,97,15,13606.0627
6,15,100,4,5958.331847
9,62,107,7,13756.7757
1,86,107,7,19560.19338
9,74,109,5,9660.6262
1,58,110,5,13408.3081
5,29,115,3,5345.008
10,27,120,9,16972.326
9,47,131,7,17171.577
10,64,134,9,19455.86387
9,97,135,12,20797.87539
1,58,136,3,15288.72343
5,33,139,6,13603.544
10,29,141,10,19966.32
7,84,142,14,21004.4955
7,84,146,8,21510.162
1,93,155,1,19482.394
10,87,158,6,16638.92
4,17,158,9,20536
7,43,160,13,22771.40901
9,78,170,6,17995.6433
4,23,173,2,8050.7082
3,5,176,10,21170.94043
9,12,177,13,25222.28816
4,30,181,8,23997.297
3,35,182,1,6586.8721
8,71,182,5,14901.87618
3,76,185,5,16802.70868
10,93,194,10,29165.6294
6,90,196,6,20840.778
6,98,199,14,28766.3
9,96,199,13,29956.133
10,89,212,11,32336.0868
6,91,213,2,13547.06582
10,93,218,3,17473.50194
8,22,221,3,13951.19312
4,26,227,14,30512.643
2,30,229,3,14848.2581
6,74,231,3,15982.242
7,73,236,4,17377.6492
8,95,242,10,37655.72
1,54,246,7,36001.23475
9,77,246,2,12366.502
3,19,251,1,12598.39272
2,12,252,4,14934.6857
6,7,253,4,16782.452
2,50,255,1,18185.7693
4,91,257,16,38734.8091
8,43,259,4,19166.9884
7,49,261,8,37484.14017
10,1,262,10,38480.5788
2,14,262,5,17753.97
1,76,263,15,50463.122
4,69,263,16,38069.102
1,71,276,12,51586.076
10,13,285,7,34985.12
7,19,290,6,26644.796
10,6,296,5,26361.135
6,37,302,12,41240.1847
2,92,305,8,50167.74465
3,8,306,7,32398.6884
4,89,307,5,28226.979
10,36,309,15,46330.3432
6,22,314,7,37514.76442
9,49,316,3,20353.58099
10,14,327,9,47958.63989
9,33,327,12,48257.429
4,14,328,4,20224.6929
3,11,328,11,40705.2
3,68,334,8,47755.20157
4,84,335,10,49265.5667
1,67,338,6,48821.93091
7,8,343,15,46786.743
4,77,343,5,27901.45094
6,65,343,9,48090.2136
3,11,344,15,42577.731
9,13,368,15,54249.286
4,91,371,16,55212.15
5,97,374,4,30891.367
4,27,375,9,49839.8783
9,93,377,5,36821.6287
9,4,378,5,28782.1898
5,12,379,3,18591.20252
8,4,380,14,53782.663
5,100,389,4,29898.0502
2,51,390,15,55658.9737
6,84,390,4,27855.4341
8,66,390,6,42056.4
4,14,391,8,50636
8,89,391,2,26910.6574
5,62,394,2,27421.63
5,93,395,6,43215.89155
3,68,400,8,56924.17876
2,98,411,7,61419.7982
5,25,412,4,24426
1,89,419,5,64772.3138
7,72,423,1,16583.52341
5,89,424,1,26495.06725
6,66,427,1,15198.3044
8,17,427,14,61120.8358
7,58,431,13,62394.97
1,1,433,10,50216.9453
9,95,440,1,18273.26975
10,34,445,9,66755.52198
8,79,448,12,67292.65201
8,50,448,12,65697.65201
10,85,448,2,25040.049
3,85,449,5,43246.732
9,87,454,13,69012.832
8,66,455,7,57881.1851
1,87,456,13,91812.05114
3,32,458,5,36609.5698
4,19,459,5,34197.07
6,17,459,7,47752.6313
10,87,474,1,19959.547
8,59,474,7,60007.2418
5,58,475,7,58009.082
9,34,477,10,
