Window size,Simulation length,Workload,Checkpoint penalty,Total Duration
1,931,5,2,61309.02176
1,881,10,85,179290.8735
1,874,6,20,89046.17336
1,870,6,18,89872.22709
9,900,9,3,109466.6646
1,851,7,85,162263.5818
1,848,6,66,127807.6546
1,831,15,1,99081.89827
1,819,11,98,176786.6673
1,799,7,9,86073.56287
2,788,9,1,93261.77926
1,755,10,10,95965.95375
1,740,5,34,73383.11527
1,706,10,27,101814.2233
1,681,6,31,74840.02513
1,673,8,16,89738.80758
1,672,7,89,128768.261
9,665,16,3,79975.45476
1,624,12,13,81090.89578
10,698,9,5,85364.65352
1,591,13,16,78488.78025
1,581,13,76,111924.0646
1,558,16,33,83364.95175
6,961,9,11,123998.8388
3,897,13,11,114507.2926
8,736,13,7,90859.93437
1,513,5,34,52641.36369
1,491,14,80,95689.5695
2,926,7,14,98746.0229
2,935,16,54,138589.3719
1,463,8,89,94177.69686
10,483,7,2,48918.16699
4,906,16,14,116780.9675
2,886,11,23,117465.979
2,881,13,69,136569.4537
3,919,2,4,44934.46862
2,781,8,35,106618.7733
2,777,6,63,93637.66003
2,749,12,18,96374.33981
3,556,11,8,68710.07126
10,988,2,8,56687.36461
2,707,10,16,90466.41233
2,718,2,62,56431.68198
3,369,9,1,43038.13477
8,992,8,26,133460.2155
9,963,6,16,96162.5165
8,804,11,17,104370.5243
2,674,16,37,92806.51695
8,679,4,6,41183.38562
3,997,2,74,71379.13289
9,944,16,25,126285.3675
2,647,12,17,83151.76342
1,326,10,81,64156.12536
5,866,15,26,115590.9708
5,860,15,27,115062.161
3,938,4,64,71789.7169
6,932,9,37,127497.8919
3,924,2,36,42462.26505
1,308,12,71,57693.10628
3,903,6,65,102789.5233
9,896,8,31,121133.8675
2,594,1,10,22788.99238
10,554,11,12,69682.85515
7,605,4,4,34669.13519
3,870,5,26,71115.3343
8,626,7,12,64643.69146
3,861,3,39,60632.66729
10,899,11,38,123659.1434
10,1000,2,16,61901.37164
9,800,14,24,104870.1618
5,759,12,28,100725.7737
7,654,4,8,44794.68848
1,277,9,82,54809.93692
3,827,5,86,81356.95934
6,822,14,35,110474.2031
8,596,13,15,76072.22835
1,270,10,51,45044.7991
10,714,4,9,43355.10984
6,820,10,44,112563.042
3,785,8,69,113448.1721
3,782,3,73,67399.88853
3,779,4,72,68173.97398
7,918,3,13,56997.75031
5,677,11,28,90159.1291
8,778,8,31,103316.4273
8,945,9,60,135799.8599
2,493,13,52,70539.37385
4,885,3,12,55257.11377
3,731,14,87,110098.2542
4,957,6,86,104331.1446
5,606,9,18,77804.96459
9,840,13,44,115655.7634
9,597,13,20,76557.17353
1,233,4,55,25876.38529
8,828,12,42,113355.924
2,457,2,28,21180.8563
9,419,13,12,52162.44198
1,225,6,96,39118.58743
9,369,15,10,45632.8877
2,443,1,34,18291.37086
10,838,16,55,118629.9022
7,551,12,20,70684.38115
2,388,9,9,47487.98703
5,790,5,21,57490.21813
9,911,4,25,62450.82823
3,638,11,87,96005.20354
7,647,9,29,86299.13801
2,418,10,70,63481.96381
1,208,5,78,29110.02029
7,703,3,13,35857.45395
