Window size,simulation length,Workload,checkpoint penalty,Best Window Size,Predicted Duration,Simulated Duration,
9,480,9,10,4,60578.91424,59225.11418,278
6,477,7,8,4,49903.48548,47988.15042,270
2,436,14,14,6,52837.21721,54625.37614,204
9,883,12,39,6,120836.1303,120329.0701,294
4,958,14,66,6,135183.5197,139163.5376,216
7,707,12,25,5,92837.75241,93243.74656,266
5,818,12,34,6,109194.8219,109604.2649,274
3,299,13,5,4,40015.87494,36191.4229,257
6,353,10,7,4,43899.80917,42930.04318,243
3,624,15,41,6,83534.62132,84173.27658,205
2,457,6,45,5,42466.57993,46774.04501,101
1,256,16,34,6,31849.91686,33588.83427,85
4,916,15,93,6,130228.1312,137449.7783,158
8,366,13,8,4,43786.62909,44780.97638,233
2,404,7,80,10,55457.13446,51313.29426,82
6,975,12,52,4,130894.3631,138381.7636,248
2,387,10,88,10,49651.53946,56794.49785,81
4,833,11,40,6,112084.2208,113532.6027,277
7,867,12,50,6,117133.3217,122452.508,255
7,769,16,42,6,104032.4988,104296.5535,249
8,552,9,32,5,71660.06841,73735.32404,198
5,913,15,55,6,125743.0572,129760.8202,247
5,913,11,81,10,127787.8036,134097.3111,195
7,658,10,53,10,89907.23506,92741.95065,174
3,400,8,15,4,53132.37779,50420.79772,190
8,952,13,81,10,136020.8583,141283.6695,202
3,426,8,72,10,59152.94043,59715.3,94
9,458,8,27,5,56372.99964,9341.14911,170
5,880,9,86,10,133177.3315,130695.3909,186
9,847,7,51,6,94514.80488,105204.6726,209
5,850,15,85,10,127043.8663,126344.0089,180
7,936,16,77,10,133770.1108,137072.5537,200
8,391,9,20,5,54030.12854,49691.7401,153
4,562,13,2,5,67994.62485,66662.1003,535
3,679,4,57,6,48364.37598,49453.3681,114
6,785,11,58,6,109897.5518,110254.523,199
3,606,5,29,10,47095.99378,46087.3983,152
4,554,12,80,10,78762.84827,80923.67503,118
4,557,13,85,10,79285.9185,82220.373,118
1,171,7,15,5,19051.36186,17387.87654,68
4,319,13,38,4,42188.31972,42675.531,85
1,98,15,5,5,10552.60789,11354.86,80
9,229,16,25,8,30505.03512,29708.64,81
2,978,3,73,6,66153.46255,60256.253,164
5,476,7,87,10,59313.18353,61139.45787,97
4,313,10,67,4,44308.08716,44365.3217,79
10,509,14,97,6,77651.62253,76268.546,87
2,142,11,12,5,15152.80255,17346.189,75
6,520,11,72,10,77087.13343,73653.672,114
8,147,6,6,10,9590.826486,11899.3423,90
