Window size,simulation length,Workload,checkpoint penalty,Total Duraion
1,937,14,47,155053.3956
1,922,7,36,124878.3009
1,897,11,60,159083.1849
1,884,15,49,147183.7228
1,879,13,81,173906.664
1,912,4,85,124946.5248
1,848,10,44,136979.1585
1,827,15,79,161636.7052
6,822,16,3,99255.61766
1,786,6,41,90800.43559
1,775,5,23,68380.24512
1,707,9,39,109785.4707
1,688,1,10,38147.72938
1,676,12,99,144594.2928
1,670,11,83,132795.9904
3,999,13,8,126131.5098
8,727,12,4,87625.04056
1,597,5,34,55929.24339
1,584,8,32,86493.76301
1,585,7,29,74524.45962
2,932,9,32,129617.3317
1,577,16,54,97780.35823
2,932,9,87,160637.3317
6,803,9,7,98463.66891
2,928,14,33,129239.941
1,771,4,45,71606.71995
2,904,9,11,113712.4829
1,571,10,51,95024.9042
2,967,5,34,90190.03497
2,883,8,44,128581.1017
1,541,7,90,101483.4419
1,527,15,57,90596.38808
4,587,13,4,70577.90379
6,870,13,10,108698.301
1,506,7,26,60810.72671
1,505,7,62,78565.63535
1,487,14,50,79792.48429
1,484,15,37,73132.57783
2,735,9,76,120624.2416
1,440,1,22,20390.60898
2,716,16,24,94714.51765
4,726,7,7,72778.02094
4,939,12,17,120671.7484
1,418,1,95,57940.81988
2,665,12,78,109800.5876
2,645,14,86,109863.7384
2,637,14,26,84955.72698
3,940,13,18,120981.9457
4,485,12,6,57940.53854
2,606,16,31,82389.81811
2,595,14,54,89263.48169
9,922,14,21,118867.3728
3,924,12,55,131492.6997
8,998,14,29,133305.9527
1,357,2,69,41322.79145
4,962,13,23,125993.69
9,884,13,25,114911.0795
3,828,13,86,127704.1364
6,592,7,9,57613.65643
5,720,11,16,90415.5967
2,355,8,4,42366.25385
3,382,6,2,29927.62238
3,784,8,23,100515.9066
3,985,5,68,83929.69588
5,696,7,13,73392.53545
1,310,12,38,47643.85609
8,755,12,21,96170.99636
10,364,6,3,30930.38839
8,711,7,15,77395.37818
9,750,6,13,68630.64689
5,749,11,26,96824.04979
10,914,15,36,122267.0337
3,583,7,9,62423.34852
2,467,12,35,63699.69031
1,294,13,42,46258.80529
7,953,14,43,130034.7689
9,922,10,38,123761.0571
6,835,9,38,111968.3655
10,572,13,14,71050.33364
8,826,11,43,111177.1891
2,372,8,59,56500.76141
9,263,12,5,31633.74127
10,466,15,15,57160.03885
4,817,8,49,110998.552
8,844,10,49,115046.2611
6,563,12,25,72079.56288
10,990,6,34,96265.87896
9,672,16,37,89344.07926
4,781,16,68,109742.1654
2,322,12,9,39316.76008
8,814,11,48,110210.7985
2,402,5,77,44301.08019
7,407,16,12,49722.54967
10,869,12,53,118900.5261
10,770,9,46,103500.7264
9,853,16,48,115686.1975
5,808,12,40,107138.1373
3,508,12,40,68114.95041
8,858,14,59,118549.2815
1,210,14,25,29106.5852
6,523,10,30,67862.83307
10,610,11,35,80123.82878
1,209,15,73,38565.75717
7,432,10,16,53359.2179
2,313,7,22,36057.82336
4,713,13,55,97757.59935
8,932,15,71,131234.5978
3,491,14,80,73347.3274
4,692,9,43,92722.52454
3,206,14,2,23748.36632
8,803,7,48,94178.56454
7,694,9,52,94584.719
3,468,16,95,72695.26822
8,528,12,30,68304.72207
3,463,16,40,61473.79636
7,441,12,20,55060.6652
4,610,12,32,79536.33611
3,457,10,74,66983.2044
9,819,15,62,113140.8992
3,620,4,31,43435.4574
7,477,9,34,61477.4752
2,288,6,67,33010.09942
8,680,14,65,94153.77925
5,666,9,43,88207.59759
6,598,15,52,80721.33589
5,757,12,89,107910.7902
3,458,5,71,40498.52051
5,925,6,93,92565.7287
4,258,15,11,31725.04813
5,734,8,56,99169.83584
6,670,9,56,90654.63595
8,925,16,92,132182.5924
3,363,11,45,49213.88069
9,744,11,84,104784.3289
4,498,12,82,71602.42147
8,836,15,88,118994.8936
10,780,14,82,109206.0273
8,809,15,86,114450.9387
4,529,7,57,62873.95311
9,905,7,83,111643.5177
4,328,10,19,41268.54749
6,758,10,65,103442.926
10,472,14,44,62111.33516
4,478,9,71,66807.52983
