Window size,simulation length,Workload,checkpoint penalty,Original Duration,Best Window Size,Predicted Duration,Simualted Duration,
9,480,9,10,58143.09617,5,59608.94145,58145.447,278
6,477,7,8,49593.82653,4,52466.5581,45603.30815,275
2,436,14,14,53921.30398,9,54092.06508,53435.6166,217
9,883,12,39,118394.9579,5,124918.4794,117343.631,229
4,958,14,66,136430.9107,10,129137.1768,133844.91,193
7,707,12,25,90932.14064,5,92328.54779,91178.0447,281
5,818,12,34,108504.0338,5,108738.1051,108504.0338,256
3,299,13,5,36030.41842,5,29795.2867,36039.0687,256
6,353,10,7,42520.86193,5,45652.95642,42510.04918,254
3,624,15,41,84539.12645,5,80781.10597,82534.4501,163
2,457,6,45,46367.84377,5,41837.47543,40513.4263,89
1,256,16,34,38290.16728,9,32530.32871,33434.5639,91
4,916,15,93,136100.7685,10,126773.033,131113.2175,163
8,366,13,8,44300.15281,5,45766.04274,44319.209,248
2,404,7,80,56355.56156,6,45409.05108,47939.01636,61
6,975,12,52,134949.5448,10,131932.325,135502.5772,245
2,387,10,88,65724.55799,6,49973.02175,53711.1252,62
4,833,11,40,111591.1793,5,115429.4167,110925.4178,219
7,867,12,50,118367.6685,5,118548.9439,117232.834,187
7,769,16,42,102612.9193,5,103011.4062,101726.924,186
8,552,9,32,71761.33999,5,70630.422,72128.5605,191
5,913,15,55,124339.9124,10,125765.541,124933.3869,212
5,913,11,81,129611.7707,10,129853.5866,128913.633,171
7,658,10,53,89766.56885,6,90994.4821,88994.57686,165
3,400,8,15,49331.26754,9,45224.77537,49433.42949,195
8,952,13,81,135441.4433,10,125378.993,127378,211
3,426,8,72,62383.00781,6,57683.84989,57756.998,74
9,458,8,27,58107.40656,5,61343.57003,58292.8172,180
5,880,9,86,125701.45,6,130594.1343,124390.2779,138
9,847,7,51,94062.87824,6,100148.4303,96866.49235,162
5,850,15,85,121391.5917,6,121539.4378,120080.3702,137
7,936,16,77,132128.8217,10,130132.7327,135567.57,180
8,391,9,20,48970.01142,9,45746.55246,48862.782,166
4,562,13,2,69874.25191,3,91682.41187,66448.42259,533
3,679,4,57,48098.92882,6,39364.10326,47257.83077,72
6,785,11,58,106360.4696,6,106109.5037,106360.4696,164
3,606,5,29,43658.69135,5,48110.11502,44754.33783,97
4,554,12,80,79860.29758,6,76125.93112,76685.2362,94
4,557,13,85,81040.55461,6,75341.06348,77767.34543,92
1,171,7,15,18039.69627,1,14219.48464,19232.97812,165
4,319,13,38,41961.18876,9,35926.4239,42034.82496,105
1,98,15,5,11361.51091,2,11530.9777,11276.29327,81
9,229,16,25,29057.53634,1,27980.47645,31997.589,224
2,978,3,73,51269.06877,10,54091.75767,58635.1783,11
5,476,7,87,57333.58336,6,57678.21441,56713.2994,72
4,313,10,67,43897.53953,6,35127.32419,42625.567,57
10,509,14,97,71864.27072,6,72744.25382,71858.77,81
2,142,11,12,17288.55294,5,16642.3872,17149.134,73
6,520,11,72,70894.86973,6,70518.05835,70894.869,90
8,147,6,6,13389.62878,1,12018.80017,11552.8826,141
