Window size,Action,Duration before Checkpointing,Checkpoints,Durantion after Checkpointing
W1,A2,47020.87698,182,49750.87698
W1,A3,46564.04055,186,49354.04055
W1,A4,46817.22299,171,49382.22299
W1,A5,46681.54316,182,49411.54316
W1,A6,46761.11837,173,49356.11837
W1,A7,46706.00446,179,49391.00446
W1,A8,46748.50527,172,49328.50527
W1,A9,46374.09845,209,49509.09845
W1,A10,46670.3965,179,49355.3965
W2,A2,47113.93309,173,49708.93309
W2,A3,46864.07489,168,49384.07489
W2,A4,47010.29312,145,49185.29312
W2,A5,47287.31696,136,49327.31696
W2,A6,47131.42838,150,49381.42838
W2,A7,46937.25654,170,49487.25654
W2,A8,47228.94197,134,49238.94197
W2,A9,46755.55025,184,49515.55025
W2,A10,47197.86525,146,49387.86525
W3,A2,46951.35142,187,49756.35142
W3,A3,47076.62771,155,49401.62771
W3,A4,46982.49187,150,49232.49187
W3,A5,46635.87757,175,49260.87757
W3,A6,47091.19425,149,49326.19425
W3,A7,47307.65285,134,49317.65285
W3,A8,47198.31063,146,49388.31063
W3,A9,47471.91642,137,49526.91642
W3,A10,47133.03209,135,49158.03209
W4,A2,47663.2671,151,49928.2671
W4,A3,47474,145,49649
W4,A4,47193.192,140,49293.192
W4,A5,47169.502,139,49254.502
W4,A6,46900.4688,167,49405.4688
W4,A7,47384.506,127,49289.506
W4,A8,47109.3464,161,49524.3464
W4,A9,47432.5683,130,49382.5683
W4,A10,47058.2342,159,49443.2342
W5,A2,47453.245,162,49883.245
W5,A3,47230.62068,146,49420.62068
W5,A4,47154.03237,143,49299.03237
W5,A5,47063.8532,156,49403.8532
W5,A6,47018.13417,156,49358.13417
W5,A7,46917.87875,171,49482.87875
W5,A8,46820.47086,186,49610.47086
W5,A9,47104.3554,156,49444.3554
W5,A10,47124.67041,171,49689.67041
W6,A2,47102.671,190,49952.671
W6,A3,47348.0496,140,49448.0496
W6,A4,46716.6935,175,49341.6935
W6,A5,47675.083,132,49655.083
W6,A6,46701.0431,187,49506.0431
W6,A7,47312.0092,144,49472.0092
W6,A8,47610.4278,123,49455.4278
W6,A9,47084.9467,177,49739.9467
W6,A10,46987.647,156,49327.647
W7,A2,47125.52,187,49930.52
W7,A3,47107.9272,153,49402.9272
W7,A4,47535.3946,139,49620.3946
W7,A5,46844.0226,167,49349.0226
W7,A6,47444.4925,138,49514.4925
W7,A7,46598.1553,192,49478.1553
W7,A8,46985.4939,160,49385.4939
W7,A9,47168.357,148,49388.357
W7,A10,47670.036,138,49740.036
W8,A2,47550.3974,167,50055.3974
W8,A3,47001.388,194,49911.388
W8,A4,47122.2022,171,49687.2022
W8,A5,47404.516,143,49549.516
W8,A6,47202.5876,155,49527.5876
W8,A7,47133.8176,163,49578.8176
W8,A8,46990.8614,161,49405.8614
W8,A9,47548.6989,137,49603.6989
W8,A10,47399.8272,160,49799.8272
W9,A2,46857.1781,230,50307.1781
W9,A3,46414.2822,231,49879.2822
W9,A4,46881.7843,159,49266.7843
W9,A5,46809.0925,175,49434.0925
W9,A6,46823.5793,193,49718.5793
W9,A7,46910.9102,170,49460.9102
W9,A8,47242.768,147,49447.768
W9,A9,46941.7448,180,49641.7448
W9,A10,47444.8925,143,49589.8925
W10,A2,47272.4151,199,50257.4151
W10,A3,46903.6752,168,49423.6752
W10,A4,46797.448,173,49392.448
W10,A5,47004.1879,169,49539.1879
W10,A6,47034.0122,180,49734.0122
W10,A7,47390.2616,139,49475.2616
W10,A8,46886.0498,166,49376.0498
W10,A9,46716.2157,186,49506.2157
W10,A10,47737.3147,129,49672.3147
