CheckpointPenalty,StaticWindowDuration,DynamicWindowDuration,DynamicMPCDuration,RLDuration,StaticWindowCheckpoints,DynamicWindowCheckpoints,DynamicMPCCheckpoints,RLCheckpoints
5,47965,48028,47822,47494,199,344,335,186
15,49875,50011,49331,49158,133,202,180,135
25,51205,51192,50720,50508,133,135,141,135
35,52535,52297,51834,51830,133,133,123,127
45,53865,53670,52557,53100,133,112,94,127
55,55195,54732,53365,54370,133,101,84,127
65,55998,55598,53940,55605,79,90,79,123
75,56737,56794,54739,56835,66,94,68,123
85,57397,57633,55407,58065,66,93,64,123
95,58057,58046,55647,59295,66,84,57,123
