Config_Strategy,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
EXPPO, 65126.48343786634, 0, 65126.48343786634
SW1, 46195.27997458069, 399, 52180.27997458069
SW2, 46970.590944808864, 199, 49955.590944808864
SW3, 47880.17876125451, 133, 49875.17876125451
SW4, 50574.74648368374, 99, 52059.74648368374
SW5, 50863.57542578313, 79, 52048.57542578313
SW6, 51787.42560532594, 66, 52777.42560532594
SW7, 55054.509896360505, 57, 55909.509896360505
SW8, 56611.79980463157, 49, 57346.79980463157
SW9, 58099.97635820614, 44, 58759.97635820614
Dynamic MPC, 46497.925205953434, 194, 49407.925205953434
