Checkpoint_Penalty, Total time before checkpointing, Checkpoints, Total time after checkpointing
5, 46308.62500927711, 344, 48028.62500927711
10, 46918.179949936086, 246, 49378.179949936086
15, 48107.22212584516, 184, 50867.22212584516
20, 47556.97757746246, 160, 50756.97757746246
25, 48623.989510313084, 142, 52173.989510313084
30, 49156.06276070612, 126, 52936.06276070612
35, 49201.58632564106, 125, 53576.58632564106
40, 49307.32299638725, 124, 54267.32299638725
45, 49268.92503832342, 122, 54758.92503832342
50, 49288.00524008805, 120, 55288.00524008805
55, 49370.269540531976, 118, 55860.269540531976
60, 49364.086281225456, 117, 56384.086281225456
65, 49750.75268818747, 107, 56705.75268818747
70, 49960.11215546189, 101, 57030.11215546189
75, 50262.22756759171, 97, 57537.22756759171
80, 53208.49171100438, 89, 60328.49171100438
85, 53006.93420574814, 84, 60146.93420574814
90, 53741.51944401189, 78, 60761.51944401189
95, 54044.04592315895, 75, 61169.04592315895
100, 54043.70622420616, 67, 60743.70622420616
