Horizon size,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
Window size 1,46195.27997458069,399,52180.27997458069
Window size 2,46981.57966026735,202,50011.57966026735
Window size 3,48435.81474359109,172,51015.81474359109
Window size 4,47570.797715286455,190,50420.797715286455
Window size 5,47856.09554463522,183,50601.09554463522
Window size 6,47868.21564272058,181,50583.21564272058
Window size 7,48107.22212584516,180,49331.26754495462
Window size 8,47883.201843501796,183,50628.201843501796
Window size 9,48140.925371939156,186,50930.925371939156
Window size 10,48090.76634687806,186,50880.76634687806
