Checkpoint Penalty, Total Duration before checkpointing, Checkpoints, Total Duration after checkpointing
5, 47133.03208580606, 135, 47808.03208580606
10,47133.03208580606, 135, 48483.03208580606
15, 47133.03208580606, 135, 49158.03208580606
20, 47133.03208580606, 135, 49833.03208580606
25, 47133.03208580606, 135, 50508.03208580606
30, 47133.03208580606, 135, 51183.03208580606
35, 47133.03208580606, 135, 51858.03208580606
40, 47133.03208580606, 135, 52533.03208580606
45, 47133.03208580606, 135, 53208.03208580606
50, 47133.03208580606, 135, 53883.03208580606
55, 47133.03208580606, 135, 54558.03208580606
60, 47133.03208580606, 135, 55233.03208580606
65, 47133.03208580606, 135, 55908.03208580606
70, 47133.03208580606, 135, 56583.03208580606
75, 47133.03208580606, 135, 57258.03208580606
80, 47133.03208580606, 135, 57933.03208580606
85, 47133.03208580606, 135, 58608.03208580606
90, 47133.03208580606, 135, 59283.03208580606
95, 47133.03208580606, 135, 59958.03208580606
100, 47133.03208580606, 135, 60633.03208580606
