Checkpoint_Penalty, Total time beofre checkpointing, Checkpoints, Total time after checkpointing
5, 47880.17876125451, 133, 48545.17876125451
10, 47880.17876125451, 133, 49210.17876125451
15, 47880.17876125451, 133, 49875.17876125451
20, 47880.17876125451, 133, 50540.17876125451
25, 47880.17876125451, 133, 51205.17876125451
30, 47880.17876125451, 133, 51870.17876125451
35, 47880.17876125451, 133, 52535.17876125451
40, 47880.17876125451, 133, 53200.17876125451
45, 47880.17876125451, 133, 53865.17876125451
50, 47880.17876125451, 133, 54530.17876125451
55, 47880.17876125451, 133, 55195.17876125451
60, 47880.17876125451, 133, 55860.17876125451
65, 47880.17876125451, 133, 56525.17876125451
70, 47880.17876125451, 133, 57190.17876125451
75, 47880.17876125451, 133, 57855.17876125451
80, 47880.17876125451, 133, 58520.17876125451
85, 47880.17876125451, 133, 59185.17876125451
90, 47880.17876125451, 133, 59850.17876125451
95, 47880.17876125451, 133, 60515.17876125451
100, 47880.17876125451, 133, 61180.17876125451
