Window size,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
EXPPO,65126.48344,0,65126.48344
Window size 1,47066.173300255825,182,49796.173300255825
Window size 2,46238.69604210113,225,49613.69604210113
Window size 3,46631.26754495462,180,49331.26754495462
Window size 4,46391.53508489823,207,49496.53508489823
Window size 5,46558.2172951942,188,49378.2172951942
Window size 6,46497.72010463218,200,49497.72010463218
Window size 7,46581.139722532826,192,49461.139722532826
Window size 8,46483.117635898365,194,49393.117635898365
Window size 9,46508.42949116042,195,49433.42949116042
Window size 10,46497.925205953434,194,49407.925205953434
Window size 11,46515.57194668197,197,49470.57194668197
Window size 12,46501.31479144946,195,49426.31479144946
Window size 13,46493.88897370895,195,49418.88897370895
Window size 14,46501.31479144946,195,49426.31479144946
Window size 15,46495.2601031751,196,49435.2601031751
Window size 16,46493.88897370895,195,49418.88897370895
Window size 17,46495.2601031751,196,49435.2601031751
Window size 18,46495.2601031751,196,49435.2601031751
Window size 19,46495.2601031751,196,49435.2601031751
Window size 20,46495.2601031751,196,49435.2601031751
